"id";"produto";"nome_busca";"cluster_sugerido";"subcluster_sugerido";"confianca";"motivo";"confirmado"
"1";"FORMULA MAGISTRAL";"FORMULA MAGISTRAL";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"2604";"TB AÇÚCAR MASCAVO - 500G";"AÇÚCAR MASCAVO - 500G";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"2719";"BF FA - MENOPAUSA - 37ML";"MENOPAUSA - 37ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"2772";"LB GUACAM - 300G";"GUACAM - 300G";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"2775";"HB ISOFLAVINE - 150MG - 30 COMP.";"ISOFLAVINE - 150MG - 30 COMP.";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"2787";"HB ÓLEO DE ROSA MOSQUETA - 30ML";"ÓLEO DE ROSA MOSQUETA - 30ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"2788";"HB ÓLEO DE ALHO - 45 CÁP.";"ÓLEO DE ALHO - 45 CÁP.";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"2792";"LB PÓLEN APÍCOLA DESIDRATADO - 500G";"PÓLEN APÍCOLA DESIDRATADO - 500G";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"2797";"HB RECALM - 30 CÁP.";"RECALM - 30 CÁP.";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"2805";"PF FQM - UMCKAN - 20ML";"UMCKAN - 20ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"2810";"SR ADV - ÁGUA BORICADA - 100ML";"ÁGUA BORICADA - 100ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"2837";"AGULHA AURICULAR OBLIQUA 10 C/50 0,20X1,5MM";"AGULHA AURICULAR OBLIQUA 10 C/50 0,20X1,5MM";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"2842";"AT AIRON - SEMENTES & GRÃOS CASTANHA - 14G";"AIRON - SEMENTES & GRÃOS CASTANHA - 14G";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"2843";"PF EMS - ALBENDAZOL - 10ML";"ALBENDAZOL - 10ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"2862";"AT CAROB H. - ALFARR. COM CAST. DE CAJU - 12G";"CAROB H. - ALFARR. COM CAST. DE CAJU - 12G";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"2863";"AT CAROB H. - ALFARR. COM ARROZ INT. - 11G";"CAROB H. - ALFARR. COM ARROZ INT. - 11G";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"2864";"AT CAROB H. - ALFARR. COM BANANA - 30G";"CAROB H. - ALFARR. COM BANANA - 30G";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"2865";"AT CAROB H. - ALFARR. COM COCO - 25G";"CAROB H. - ALFARR. COM COCO - 25G";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"2867";"AT CAROB H. - ALFARR. COM UVA-PASSA - 13G";"CAROB H. - ALFARR. COM UVA-PASSA - 13G";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"2869";"PR ALIVIUM - 20ML";"ALIVIUM - 20ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"2881";"HB ANDROSTEN - 30 COMP.";"ANDROSTEN - 30 COMP.";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"2891";"PL SÓPÉS - ANTIDERRAPANTE PLANTAR - TAM. U";"SÓPÉS - ANTIDERRAPANTE PLANTAR - TAM. U";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"2893";"AF APIAGRIÃO - 300G";"APIAGRIÃO - 300G";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"2894";"AF APIAGRIÃO - 10 SACHÊS";"APIAGRIÃO - 10 SACHÊS";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"2897";"AF SPRAY APIDOL TUTTI FRUTTI - 30ML";"SPRAY APIDOL TUTTI FRUTTI - 30ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
